09:46:26: h
09:46:27: o
09:46:27: l
09:46:27: a
09:46:28: a
09:46:28: a
09:46:28: a
12:26:52: c
12:26:52: a
12:26:53: n
12:26:53: v
12:26:53: Key.enter
12:27:02: k
12:27:02: .
12:27:02: m
12:27:02: e
12:27:03: d
12:27:03: i
12:27:03: n
12:27:03: a
12:27:03: c
12:27:04: Key.tab
12:27:04: k
12:27:04: i
12:27:04: k
12:27:05: i
12:27:05: 0
12:27:05: 1
12:27:05: 0
12:27:05: 1
12:27:06: 1
12:27:06: 8
12:27:06: Key.enter
13:38:10: o
13:38:10: n
13:38:11: e
13:38:21: k
13:38:21: .
13:38:21: m
13:38:22: e
13:38:22: d
13:38:22: i
13:38:22: n
13:38:22: a
13:38:22: c
13:38:24: Key.ctrl_l
13:38:24: Key.alt_l
13:38:24: @
13:38:25: u
13:38:25: d
13:38:25: d
13:38:25: .
13:38:26: c
13:38:26: l
13:38:26: Key.enter
